id,title,active,user_login,option_profile,network_id,processing_priority,scanner,asset_groups,target_ip,exclude_ip,fqdns,start_date,start_hour,start_minute,timezone,dst,recurrence_type,recurrence_every,occurrence,notify_before_launch,notify_on_complete,notify_on_delay,notify_on_skip,notify_on_deactivate
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
,,1,,,0,0,,,,,,,0,0,,0,once,1,,0,0,0,0,0
